X,Y,Voltage
98.0,1.0,12.020974710153855
99.0,1.0,0.08090421219789495
100.0,1.0,-30.0
0.0,2.0,30.0
1.0,2.0,30.002840846278858
2.0,2.0,30.005730903604896
3.0,2.0,30.008719454301296
4.0,2.0,30.01185593284942
5.0,2.0,30.015190001708774
6.0,2.0,30.01877162678337
7.0,2.0,30.022651152353085
8.0,2.0,30.02687937523212
9.0,2.0,30.03150761784396
10.0,2.0,30.036587799811336
11.0,2.0,30.042172507547587
12.0,2.0,30.048315061202768
13.0,2.0,30.05506957815676
14.0,2.0,30.06249103206291
15.0,2.0,30.07063530622185
16.0,2.0,30.079559239804276
17.0,2.0,30.089320665134906
18.0,2.0,30.099978433894186
19.0,2.0,30.11159242967903
20.0,2.0,30.12422356388511
21.0,2.0,30.137933751316133
22.0,2.0,30.15278586128503
23.0,2.0,30.168843639234755
24.0,2.0,30.186171593058983
25.0,2.0,30.204834837337085
26.0,2.0,30.224898887595575
27.0,2.0,30.246429395460854
28.0,2.0,30.269491814164283
29.0,2.0,30.29415098228939
30.0,2.0,30.320470611910626
31.0,2.0,30.348512665367085
32.0,2.0,30.378336602853718
33.0,2.0,30.409998480829994
34.0,2.0,30.443549878989934
35.0,2.0,30.479036631291795
36.0,2.0,30.516497334431516
37.0,2.0,30.555961605340567
38.0,2.0,30.59744805803999
39.0,2.0,30.640961969828346
40.0,2.0,30.686492607762585
41.0,2.0,30.734010189281896
42.0,2.0,30.783462456337908
43.0,2.0,30.83477085139349
44.0,2.0,30.887826297125255
45.0,2.0,30.9424846006856
46.0,2.0,30.998561528998756
47.0,2.0,31.055827634636977
48.0,2.0,31.11400295273903
49.0,2.0,31.1727517377461
50.0,2.0,31.23167746267618
51.0,2.0,31.29031835962481
52.0,2.0,31.348143832222753
53.0,2.0,31.404552110380457
54.0,2.0,31.45886953397227
55.0,2.0,31.510351833115916
56.0,2.0,31.558187707307003
57.0,2.0,31.601504887037105
58.0,2.0,31.639378690929917
59.0,2.0,31.670842881541876
60.0,2.0,31.69490239884314
61.0,2.0,31.710547346410582
62.0,2.0,31.71676745767849
63.0,2.0,31.71256620564901
64.0,2.0,31.69697374867793
65.0,2.0,31.669058014915905
66.0,2.0,31.627933388226772
67.0,2.0,31.572766629720284
68.0,2.0,31.502779813970438
69.0,2.0,31.417250149511684
70.0,2.0,31.315506573867346
71.0,2.0,31.196922960470808
72.0,2.0,31.0609076532092
73.0,2.0,30.906888863220033
74.0,2.0,30.73429523169524
75.0,2.0,30.542530587954744
76.0,2.0,30.33094161210083
77.0,2.0,30.098776730324467
78.0,2.0,29.84513409000315
79.0,2.0,29.568895807874483
80.0,2.0,29.268644732517913
81.0,2.0,28.94255851039608
82.0,2.0,28.58827347753825
83.0,2.0,28.202707325825457
84.0,2.0,27.78182383467094
85.0,2.0,27.32031393430292
86.0,2.0,26.811152780859643
87.0,2.0,26.244968470882736
88.0,2.0,25.609117319928274
89.0,2.0,24.886289647776767
90.0,2.0,24.05234208725617
91.0,2.0,23.072813772410836
92.0,2.0,21.897122679084543
93.0,2.0,20.44851786590572
94.0,2.0,18.605977755574813
95.0,2.0,16.17035207635413
96.0,2.0,12.799299814050727
97.0,2.0,7.882616639944323
98.0,2.0,0.3236202691349487
99.0,2.0,-11.697357861288358
100.0,2.0,-30.0
0.0,3.0,30.0
1.0,3.0,30.00419975620988
2.0,3.0,30.008473233753506
3.0,3.0,30.012894261086636
